Texto,Sentimiento
"Me acabo de enterar de lo que le hicieron a Mayra Goñi y la verdad estoy cansada de esta situación por la que pasamos. Primero fue Jackie , ayer Mayra mañana quién ? Una niña de 12 años ? Mi prima ? Tu hermana ?. Espero que las autoridades metan preso a esa persona.",POSITIVO
"en serio hay gente q toma lo de mayra goñi como broma o lo justifica???? dios, la sociedad esta re cagada",NEUTRAL
Es indignante ver todo lo que pasó debido al acoso que sufrió Mayra Goñi y en como muchas mujeres lo tomaron como una simple broma y no como es en realidad ACOSO CIBERNÉTICO!,POSITIVO
@ireadallday13 Quien es Mayra Goñi? no la conozco ni en pelea de gatos...,NEGATIVO
"@Fabi_an6 @paain2001 Doble moral, como mucha gente. Esto califica de acoso tal cual como lo que le hicieron a mayra goñi.",NEUTRAL
"@RPPNoticias @americatv_peru  Lo dicho por este sujeto a la exministra, es tan degradante e insultante a una mujer, como lo que le hicieron a Mayra Goñi. @Defensoria_Peru también debe pedirle a @FiscaliaPeru se le sancione ejemplarmente",POSITIVO
"tan chiquito tienen el cerebro algunos como para no entender que lo que le pasó a Mayra Goñi(?) se llama   A C O S O?? Independientemente de si es una figura pública o no.
Y lo más triste es que hay chicas que justifican el acto de ese imbécil",POSITIVO
"Es una lastima lo que le ocurrió a Mayra Goñi en su vídeo en vivo, pero hay que recordar que eso pasa a diario con chicas que realizan videos en vivo pero pasan desapercibidas, es claro que nuestra sociedad está enferma, y necesitamos pronta atención del estado",POSITIVO
@idiegomac @ingrid18_06 Este tweet hace referencia a Mayra Goñi y Mario Irrivaren? O a quién se refiere? 🤔🤔🤔,NEUTRAL
"Serio, si tienen amigos que se ríen por el caso de Mayra Goñi, aléjense. Asco total 😒",POSITIVO
"Por gente que se ríe del caso de Mayra Goñi es que no volvería a mi país, 🤷🏽‍♀️😕",POSITIVO
"q rabia ver como minimizan el acoso q sufrió Mayra Goñi, q Coooleraaaa malditos cerdosssss",POSITIVO
"@rodgonzalezl Solo sales a favor de quien te simpatiza, apuesto que si a Sheyla le hubiera pasado en su live lo mismo que le paso a Mayra Goñi, hubieras salido a burlarte :)",NEUTRAL
¿Qué tan imbécil hay que ser para que te divierta lo que le pasó a Mayra Goñi? 😠 Lo que pasó es asqueroso y repulsivo.,NEUTRAL
@massiresponds Se están burlando de lo que le pasó a Mayra Goñi.,NEGATIVO
"@ceroempaticx Acabo de ver lo que pasó con Mayra Goñi y me da asco cómo pueden estar burlándose con algo tan grave, lo que le pasó a ella, le puede pasar a cualquiera de nosotras!",POSITIVO
"@AngieLeard @Mrhuacatay Lo mismo pienso, ese chico está mal y deben ver qué sucede con él pero no la gente se burla porque es Mayra Goñi 🙄",POSITIVO
"@marissachiappe Ya ven no es para tanto ,me insultan todes les feministas como si yo hubiera mostrado la pixula a Mayra Goñi... Imbéciles",NEGATIVO
@PituGatoCalato @jawaryuka pregúntale a mayra goñi,NEUTRAL
@sunshine_jackey Un enfermo que se rie de lo que le pasó a mayra goñi,NEGATIVO
"Como Mayra Goñi no estuvo en la calle de noche, o con ropa “sugerente”, no encuentran con qué culparla de lo que le pasó y se repiten diciendo que no fue acoso.
¿Mostrar los genitales es su día a día para ustedes? 
Asquerosos.",NEGATIVO
"oe como mierda hay gente que le da me divierte a publicaciones sobre lo que le pasó a Mayra Goñi, ptm que asco de sociedad enserio.",NEGATIVO
Lo de Mayra Goñi me hizo acordar de que una vez compartí un testimonio de una chica que mencionaba que un tipo le mostró su miembro en la calle y ella se sintió sucia y culpable. Al rato un tipo me respondió que era inventado pq esas cosas no pasaban ¿En serio tan cegados están?,NEUTRAL
"dices que fue una 'broma' que un tipo le haya mostrado el pene a Mayra Goñi

#AburresCuando",NEGATIVO
Lo que mas indigna de lo que le pasó a la mayra goñi es la gente que se rie o le da me divierte a la noticia,POSITIVO
"*Mi hermano mostrándome el video de Mayra Goñi*
Él: ""Ay Giane, no sé si mostrarte porque sale algo malcriado""
Yo en mi mente: En serio creerá que nunca he visto un pene en mi vida????? O me está jodiendo JAJAJAJAJ",NEUTRAL
¿En serio hay gente que le parece gracioso lo que le hicieron a Mayra Goñi?,NEUTRAL
Chiste del día: que critiquen una disque ‘doble moralidad’ de repugnar lo que le pasó a Mayra Goñi y  defender la libertad sexual ... ¿todo bien ? ¿En qué dimensión esto es relacionable algn me explica?,POSITIVO
"Un tipo le mostró la pija corta a Mayra Goñi en un live de instagram y ahí ven a la pendeja gente machista riéndose del acoso sexual que sufrió, justificando al pendejo y tirándole toda la responsabilidad a ella. Dejen de normalizar el acoso, domestíquense.",POSITIVO
"De verdad hay gente que se ríe de lo que le pasó a Mayra Goñi ? Indignaste y penoso en serio, que estado metal de algunos de los querer enseñar esa mierda",POSITIVO
"Esa gente que ve algo ""cómico"" sobre lo de Mayra Goñi son el desagüe de la sociedad peruana y son muchos",POSITIVO
Fiscalía abre investigación contra el degenerado del live de Mayra Goñi y los comentarioa de la gente me hacen recordar por qué la cultura cívica y el respeto en mi Perú están hasta la huevas.,NEUTRAL
"Que asco los “me divierte” y los comentarios repudiables en las noticias sobre lo sucedido a Mayra Goñi. Es que en serio, si se sigue tomando casos así a la broma, nunca vamos a avanzar como sociedad. Me da mucha rabia y pena en serio.",POSITIVO
¿Qué tiene de gracioso lo que le hicieron a Mayra Goñi? Estoy segura que todas en algún momento hemos pasado por esa situación y es realmente REPUDIABLE,POSITIVO
"¿A qué hora capturan al agresor de Mayra Goñi? Hace rato que hablamos de violencia de género y de acoso sexual, pero un hombre blanco heterosexual y con hartos privilegios recibe respuestas más inmediatas. Indignante.",POSITIVO
Aggggg ptm que impotencia ver lo que le hicieron a Mayra Goñi y ver cómo lo han normalizado. En qué mundo estamos???!?!? Realmente me dan ASCO,POSITIVO
"Ayer con todo el tema de Mayra Goñi y heridas q se abrieron silencié el tweet q escribí con enojo x lo q pasó. Tenía un dolor de cabeza insoportable, hoy decidí revisar los comentarios y el dolor de cabeza volvió otra vez. Ven cómo estos temas tienen repercusiones físicas?",NEGATIVO
"@Moire_Di @ashhhtraygi_ me asusté, igual cuando ví el envivo de Mayra Goñi.",POSITIVO
"@PieroFa09001655 @mayra_goni Ve a estudiar, ignorante de mierda.",NEGATIVO
"Lo que pasó con Mayra Goñi fue acoso sexual, es un DELITO. No entiendo, en serio no entiendo como hay gente que hace una burla de esta situación, que de verdad no se lo desearía a nadie, pero en cambio la gente se ríe, hace memes, los comparten como si fuera normal, NO ES NORMAL.",POSITIVO
@NekaVilchez Y Quien es Mayra Goñi???,NEGATIVO
@Mrhuacatay Quién es Mayra Goñi?,NEUTRAL
"@RPPNoticias Mayra Goñi: Asi como este pedofilo q mostro sus partes, hay muchos mas en nuestro pais q violan y acosan a las mujeres (en su mayoria, menores d edad) y la justicia, bien gracias, lo liberan como si nada.",POSITIVO
"Es que no lo hacen porque es “Mayra Goñi” al menos en mi caso, lo hacen porque está mal normalizar el acoso.",POSITIVO
Te quiero mucho pero que digas que lo que paso con Mayra Goñi lo están exagerando y sólo es pantalla me da mucho que pensar.,POSITIVO
"Nunca he hablado acerca del acoso sexual recibido en mi vida (infinitas veces), pero lo de Mayra Goñi me hizo recordar a un episodio en específico, cuando tenía once años (a través de msn). Nada más de recordarlo, quise vomitar y sentí un bajón tremendo. Indeseable para nadie.",POSITIVO
"@PieroFa09001655 @mayra_goni Eres un asco a persona, que desagradable lo que le paso a Mayra no es para BURLARSE o reírse, si piensas que con esto te haces el chistosito, lo único que demuestras es que eres una persona sin cerebro",NEUTRAL
"Trome hace una publicación en su cuenta de facebook sobre el acoso que vivió ayer Mayra Goñi. De las 21 mil reacciones, 14 mil son 'me divierte'. Así de idiotas son.",NEUTRAL
"Me da asco el tipo que le hizo eso a Mayra Goñi, pero mas asco me dan esas personas que se burlan de lo sucedido.",NEUTRAL
"Entre nosotras mismas nos atacamos,pero pedimos igualdad d genero y respeto (?) se molestan si tan rápido procesan el caso d Mayra Goñi, es bandida, siempre muestra demás y por eso ella se lo busco. Deberían agradecer que al menos la policía hará algo y habrá un enfermo menos",POSITIVO
@PieroFa09001655 @mayra_goni ¡Fuera ctmre!,NEGATIVO
"Un tipo le muestra su miembro a Mayra Goñi y todo el mundo habla de eso, se abre investigación, etc.

Miles de mujeres y niñas son acostadas y VIOLADAS diariamente y nadie dice absolutamente nada. 

Esta huevada es Perú.",NEUTRAL
@JulianaOxenford @atvpe Da mucha rabia como algunos conductores dan mucha mas importancia a lo sucedido con Mayra Goñi..que tambien lo critico..deben buscar a esa persona y meterlo preso..pero y las niñas que son violadas deberian profundizar mas y encontrar los responsables y que paguen..,POSITIVO
Están las PERSONAS y luego están quienes se burlan de lo que le pasó a Mayra Goñi,POSITIVO
"Mamá viendo el video de Mayra Goñi: Que horror, parece jebe. Sin gracia. 

fin. 

XDDDDDDDDDD",NEUTRAL
"Que pendejos los comentarios para Mayra Goñi, solo espero que no les pase nada, recuerden que todo en esta vida es KARMA.",POSITIVO
@MardianeFlores @mayra_goni Lo mismo me dijo tu mamá anoche,NEGATIVO
Gente de mierda que tienen en la cabeza!! Cómo van a culpar a Mayra Goñi de lo que le paso!!! A mi me pasó algo así en una combi cuando tenía 19 años!!! Y que van a decir??? Para que me expongo saliendo? ESTUPIDOS!!! Ajjjj,NEGATIVO
@MICHAEL28965616 @Lonsmizq Es cobarde de mierda que solo está copiando y pegando lo mismo en todos los tweets que hablan de Mayra Goñi. No tiene vida y mucho menos valores.,POSITIVO
"No entiendo a las personas que están molestas con el actuar de @FiscaliaPeru por el caso de Mayra Goñi.
El depravado en potencia debe estar en la cárcel por lo que le hizo a Mayra y a las posibles víctimas futuras de este acosador. 
No normalicen estos actos que son delito.",POSITIVO
"Lo que le pasó a Mayra goñi, no es una pícara travesurita, es la confirmación de que vivimos en un país de misoginos y violadores.
Si te pareció gracioso, revisa tus valores...",POSITIVO
@seongrordebzvd qn es mayra goñi,NEGATIVO
"Me dan asco los que se burlan de lo que le hicieron a Mayra Goñi. Se llama ""acoso"", bola de estúpidos.",NEUTRAL
"No sé qué es más desagradable, el enfermero que mostró su miembro en el en vivo o los enfermos que se ríen de eso 🤡
A ver si lo que le paso a Mayra Goni le pasaba a una mujer de tu familia o alguna amiga que quieres mucho",POSITIVO
"Que tan cagada debe estar la gente que se toma en broma lo de Mayra Goñi? Fuera lo que sea, imagínate que sea cualquier persona de tu entorno caminando y venga un asqueroso ""x""y le saque medio pene en plena calle? Acaso le dirían ""Ay es que estaba expuesta"" DÉJENSE SE HUEVADAS!",POSITIVO
"@NekaVilchez Neka, quien es Mayra Goñi..?",NEUTRAL
@RicardoLaTorreZ @paain2001 Recontra cierto!!!!. Pero entendamos hay gente de todo calibre. Como lo sucedido ayer con Mayra Goñi,NEUTRAL
@ToditaParaMi @babybartra @Mrhuacatay Yo no sé quien sea Mayra goñi. Y la verdad que hasta flojera me da buscarla 🙄🙄. No lo hago.,NEUTRAL
"Si no le muestran el pene, yo ni enterado de quien mierda era Mayra Goñi.",NEGATIVO
@RodoTeEscribe Los veo y los siento más empoderados q nunca. Utilizan la pandemia para pizotearnos y obvio demostrar su empoderamiento,NEGATIVO
"Hola te quiero mucho por favor no compartas la weaíta de d0v3 y la autoestima porque ahora harto que vende ""el empoderamiento"" de las mujeres... la industria de la belleza nos cagó toda la existencia así que no les hagai el lavado de imagen porfa gracias tkm",NEGATIVO
"@fedekf @DanielOlesker @Frente_Amplio @Socialistas90 @ChCarreraLeal @Mario_Bergara @Oandradelallana @JoseCarlosMahia @CosseCarolina @tatisabini Federico te asiste razón y me jode.
La criminalización de la pobreza y de la protesta no empieza en la LUC., ha ido en ascenso. Lo grave es el empoderamiento la policía ..mientras se jugaba para la hinchada. Cómo alguien dijo de las concesiones de la izquierda renace la derecha",NEUTRAL
"@WeraReynoso @HLGatell Yo lo que vi es a una persona que malentiende el empoderamiento feminista. Fue usted terriblemente irrespetuosa, imprudente, tendenciosa y bastante lépera. Vergüenza le debería de dar hacer uso de un escaño para atacar a quien ha defendido a la nación. Vergüenza Nacional",POSITIVO
@_thearchitector Empoderamiento 🙄,POSITIVO
"Han pensado cómo se sentirán los actores negros que les asignan papeles de servidumbre o delincuentes?
Veamos más películas de empoderamiento negro, ya basta de darle los papeles y elogios a los blancos.",NEUTRAL
"@isadoralavadora Ay qué rabia, hace varios años andan robando con ""el empoderamiento y la autoestima de las mujeres"", más encima con la complicidad de instituciones internacionales y famosas feministas locales. Pésimas.",NEUTRAL
"@danielarxngel @smdkcole Amiga no solo somos un buen promedio o una carrera, lo que está dentro de tí vale mucho mas que eso, tus acciones son el mejor reflejo de lo que eres, esa pic es autonomia y empoderamiento.",POSITIVO
"Me parece casi imposible como a muchas no les cabe en la cabeza que la depilación, el maquillaje, el perreo, las nudes, y todo lo que el feminismo liberal vende de ""empoderamiento"" simplemente no lo es. Incluso buscan cualquier excusa para seguir ejerciendo estás cosas +",NEUTRAL
"ex de mi hermano tuiteó esto (me llegó al feed)
""De verdad siguen pensando que los pibes nos usan a nosotras? JAJAJA""
y no se que clase de empoderamiento es ese pero espero no vuelvas a aparecer por estos pagos",NEGATIVO
"Creo que el tema de los desnudos (soft o no) no debe verse como un acto de empoderamiento femenino sino como un acto y ya, a secas. 

Que ganas la de ustedes de romantizar o satanizar todo.",NEGATIVO
"A2. Genero
Según la Entidsd de las Naciones Unidas para la igualdad de Género y Empoderamiento de las Mujeres, los gobiernos deben tomar los siguientes pasos para apoyar al sexo femenino.

1. Asegurarse que artículos de higiene femeninos estén siempre disponibles.
#CG30COVID19",POSITIVO
"@Estelaruizdiaz Y una de ellas es la educación y el empoderamiento de la mujer; como un mecanismo válido y consistente de cambios positivos y permanentes de la sociedad que evoluciona, esto es antisísmico pero efectivo.",POSITIVO
@LaTitaAle1 Empoderamiento.,POSITIVO
@M_aailen Ese empoderamiento se poooede verrrr,POSITIVO
"Me acordé que cuando tenía 17, DEJÉ a un chongo porque me dijo que no daba subir una foto en shortcito y top, y pienso tipo lpm que empoderamiento que manejaba, mientras ahora aparece el tóxico otra vez y ya tengo un cartel en la frente que dice si a todo",NEGATIVO
"De los cosas positivas de la pandemia es que se redujo bastante la utilización de las palabras ""empoderamiento femenino"", un grato descanso al menos en estos 2 meses, no más Gretta etc!!! Se cambió por ""reinventarse"" pero al menos de esto solo van 2 meses...",NEUTRAL
"@AndresMejiaV Pero al menos utiliza lenguaje incluyente? Lo del empoderamiento no le aplica porque es femenino, obvio!! Entonces póngase pilo con los protocolos!!!!!",NEUTRAL
"@almagoch @ScienceMagazine Podríamos durar mucho discutiendo esto; la verdad tiene razón HLG, pero en realidad la medida habla de algo mucho más allá, habla de la capacidad para escalar múltiples medidas de prevención y una estructura eficiente gubernamental, del empoderamiento de la población, etc etc.",POSITIVO
"@Melbri23 exacto, siempre hacen eso, si sale una morena/o lo hacen ser pobre, ratero, sirvienta, jardinero, etc. 

estoy harta del racismo y del clasismo. empoderamiento mis huevos, sólo le dan poder a blancas millonarias.",NEGATIVO
"@danniaglezi Así es! Muy bien dicho👊 no buscamos la aprobación de nada ni nadie! El feminismo no tiene reglas, quien quiera aprender día con día sobre el tema y apoyarlo es bienvenido! Tu apoyas 100% a las mujeres y tu contenido tiene mucha fuerza en el empoderamiento femenino! Sigue asi💜👊",POSITIVO
@jdcorreau Al tuit le falta empatía por eso se dificulta el empoderamiento resiliente para evitar procrastinar esa reinvención.,NEUTRAL
"@wirrosdeangiemx #MiRolaFavorita

Empoderamiento",POSITIVO
"me da cosa que a algunas les guste sacarse fotos en ropa interior, pero como al novio no le gusta lo suben a mejores amigos😮😮 dónde está ese empoderamiento compañeras????",NEGATIVO
"#ReactivaciónEconómica
""Ahora necesitamos un área de empoderamiento económico para las mujeres, pero que sin un gobierno distintivo no tiene sostenible""  @AliciaAriasEcu @CounterpartEc",POSITIVO
"@wirrosdeangiemx @Angiefloreshn #RolaFavorita Malo

Esa canción es EMPODERAMIENTO 

#PuesNoMiCiela",POSITIVO
"@HLGatell Como subsecretario de salud usted puede hacer mucho por nosotros, tiene el empoderamiento, disminuya consumo de Coca Cola y refrescos usted es la autoridad, yo lo apoyo",POSITIVO
@pvfkoo el empoderamiento siempre es mucho más grande que las críticas,POSITIVO
"#TheLastofUsParteII 
#naugthyDog

Naugthy dog: mostramos el empoderamiento femenino para estar acorde con la corrección política y la inclusión.

Also Naugthy Dog: miren como quemamos vivo a un perro.

Más que lo puedas hacer o no, creo que el problema es como lo exhiben público.",NEUTRAL
@IreneMontero ¿Aguantar que te pongan los cuernos es empoderamiento feminista?. Es para una amiga.,NEUTRAL
"@XtraGalactica @hastalabergs No conozco el historial ni me atreveria a decir si es una buena o mala persona, sin embargo en el contexto y por el mood veo la intencion de ""empoderamiento""",POSITIVO
"@CaracolRadio @DianaCalderonF @angelccabrera El teletrabajo requiere cambios en la forma de liderar y de gestionar el conocimiento, donde se privilegian  la confianza y el empoderamiento de las personas, mediadas por las TIC
@SoyUCN",POSITIVO
"@missovarios33 Mira que hago terapia con cine de empoderamiento femenino en Netflix pero no no hay forma.

Joder, si todavía estoy en shock por ver Capitana Marvel del tirón.",NEUTRAL
"@Cumbancho Chicos, a Uds no les gusta el empoderamiento 🍷😑",NEUTRAL
Acá es donde Morrison mezcla además el concepto de Wonder Woman como icónico feminista y de empoderamiento femenino. Volviéndose dentro del cómic una referente máxima del movimiento de mujeres moderno (con pelotudas de por medio y eso),NEGATIVO
"Hay quienes son tan miserables que solamente quieren tener poder, siempre más poder. Nada los detiene siempre que la recompensa sea su empoderamiento.",NEUTRAL
Me dan arrebatos de empoderamiento y a la hora me da la llorada. Que impotencia 😪,NEUTRAL
@rocionahle @lopezobrador_ @GobiernoMX Lo que hay se llama nepotismo. Resultaron peor que esos miserables prianistas. Cuál es el empoderamiento de las mujeres que ni siquiera credibilidad les dan en cuestiones de violencia.Asco.,NEGATIVO
"@nandolucre @Eva_504 @ZYTJavier Empoderamiento quedé!!! 🤣🤣 Si, a huevo... Es de mujeres empoderadas hablar de que es mejor ponerse una buena peda por las calles que asumir las mentiras de un wey con madurez o salir en un vídeo empinada solo para ganar vistas por morbo. Cuanto empoderamiento eh!!! 🤣🤣🤣",NEUTRAL
Ven un poco de empoderamiento femenino y sororidad en una película y ya es una mierda para los onvres,NEGATIVO
@cayecit literalmente el equivalente musical de empoderamiento,POSITIVO
Y ya eras bella antes solo que no lo habías notado. (Y no me estoy enfocando en el físico) pero la verdad amo ver ese empoderamiento..💕,POSITIVO
@segunsuro @Andrea_escobedo @danimaciassz Bendito sea Dios que somos más que un grupo de mujeres que de la charlas de “empoderamiento” y odio no pasan. Revisa qué es el feminismo originalmente.,POSITIVO
"Juela la Andre me acaba de contar un trend pendejo en su Tw de humillar a las cheras que suben sus fotos semi chulonas.
Bichas ustedes son el problema, dejen ser. Si andar chulona en redes te da empoderamiento DO IT, si no te sentís bien subiendo fotos así DON’T no es obligación.",NEGATIVO
"Continuamos trabajando para que el empoderamiento y autonomía de las mujeres de nuestro estado sea una realidad. El @GobPuebla, a través de sus dependencias, mantiene su compromiso para abrir espacios de crecimiento en favor de todas las poblanas.",POSITIVO
"El proyecto ""Módulos de invernadero integral"" permitirá potenciar las capacidades de mujeres poblanas y así promover su empoderamiento para impactar positivamente en sus comunidades. #MujeresConstruyendoLaPaz.",POSITIVO
@Iseabailvs @asomasamen @consaludmental ¡Muchas gracias Isabel! El empoderamiento de la Red Estatal de Mujeres de @consaludmental es imparable 💜💪,POSITIVO
"Es por esto que la mejor herramienta que un país puede tener ante una pandemia, junto con un sistema de salud público robusto es la EDUCACIÓN y el empoderamiento de su gente para el autocuidado (ejemplos: países nórdicos, Japón, Corea del Sur, Uruguay, Seattle en EEUU). (3/16)",POSITIVO
@Carloscadena64 @MelloCastroG @ALFREDOSAADEV @CCSILVA86 @jlreales @la_verdadypunto @Laporterestrepo @CarlosMarioDj @SergioLopez29 @alex86010 @RadioGuatapuri @El_Pilon @LlamasNova Debemos es de cambiar de alcalde no hay liderazgo visión de ciudad empoderamiento del cargo,NEUTRAL
@julesylv Y en cuanto a una película ahí también puedo entender si la historia lo amerita no tener miedo de mostrar un calzón con menstruacion. Pero alguien promedio en twitter no veo ni una otra razón más que llamar la atención o creer que eso es empoderamiento,POSITIVO
@_thearchitector Empoderamiento...,POSITIVO
@GUSMALDONADOS Es el típico comportamiento de una sociópata con empoderamiento de su círculo social en donde se denigra de @PoliciaColombia y se invita a desafiar a la autoridad y al mismo tiempo hablar de paz fumando marihuana con ropa tejida en fique y cojines que huelen a oveja mojada! 😂😂,NEGATIVO
"✊Para mitigar esta afectación, se deben realizar acciones post #COVID19 en busca del empoderamiento económico; así como soluciones para la violencia de género y el aumento que arrojan los indicadores en pandemia por el confinamiento @CIMOEA",POSITIVO
@Denna12_0 Se llama empoderamiento feminoide.,NEGATIVO
"Hoy cambie la mezcladora de la cocina yo sola, is this empoderamiento femenino? O por qué siento que ya nunca mas necesitaré de ningún hombre?",NEUTRAL
@isanseba @janogarcia_ @libertad_valent Para conseguir el empoderamiento femenino...😁,POSITIVO
"@CaidoLegionario @Alberto08842517 Esto sí que es ""empoderamiento"" femenino.",POSITIVO
"@N_Chely0 @Briangelo9 Cuando hablo de igualdad hablo de derechos y entiendo q este movimiento va más allá de acuerdo a necesidades específicas de las mujeres y eso está muy bien pero x encima de eso todos somos humanos, el empoderamiento de la mujer puede lograrse sin necesidad de la palabra feminismo",POSITIVO
"Estaría medio confundida entre el empoderamiento de la mujer. La violencia y compartir la casa de nuevo,es necesario?Tanto tiempo yendo de una casa a la otra y ahora pasar la cuarentena,con tu ex,subir videos graciosos para ella.después q se puso al hombro LA NO VIOLENCIA.RARO!",NEUTRAL
"Hoy leí mucho sobre Anitta, porque me provoca muchas contradicciones, pero me sigue gustando.
¿Un feminismo sin marco teórico como dicen por ahí? ¿Un empoderamiento favelado? ¿Es negra en verdad (como me confirmaron quienes trabajaron con ella) o apropiación cultural?",NEUTRAL
"El empoderamiento femenino no es feminista, no quiero empoderar mi Cuerpa a través de la sexualización, quiero emanciparme de su sistema patriarcal",POSITIVO
